Site,Level.x,Area,LOT,id,Unit,ID,RawMaterial,QuartzQuality,Class,CorePreparProd,RetouchedPieceBlank,PieceCompleteness,Cortex,CortexLocation,CortexType,PlatformType,PlatformCortex,Lipping,BlankShape,CrossSection,BlankTip,Profile,ScarCount,ScarPattern,Thickness,MaxWidth,ProxWidth,MedWidth,DistWidth,Length,PlatformThickness,PlatformWidth,ExteriorPlatformAngle,Weight,CoreType,CoreCrossSection,NumberCoreFaces,CorePlatform,CoreDistalTreatment,CoreLeftTreatment,CoreRightTreatment,CoreBackTreatment,MainFaceCortex,MainFaceScarCount,MainFaceScarDirection,MainFaceArisOrientation,MainFaceScarLength,MainFaceScarMaxWidth,MainFaceScarProxWidth,MainFaceScarMedWidth,MainFaceScarDistWidth,MainFacePlatformAngle,MainFaceCoreUse,DistalFaceCortex,DistalFaceScarCount,DistalFaceScarDirection,DistalFaceArisOrientation,DistalFaceCoreUse,LeftFaceCortex,LeftFaceScarCount,LeftFaceScarDirection,LeftFaceArisOrientation,LeftFaceCoreUse,RightFaceCortex,RightFaceScarCount,RightFaceScarDirection,RightFaceArisOrientation,RightFaceCoreUse,BackFaceCortex,BackFaceScarCount,BackFaceScarDirection,BackFaceArisOrientation,BackFaceCoreUse,CoreAbandon,Alteration,Fire,EdgeDamage,RetouchedPieceTypology,ChipQuantity,OtherNotes,BlankType,X,Y,Z,Spit,Level.y,Code,Phase
VB,NA,TRUE,LOT-321,H18-3252,H18,3252,Chert,NA,Blank,NA,NA,NA,0%,NA,NA,Plain,YesComplete,No,Irregular,Triangular,Hinge,Irregular,2,Bidirectional,6.71,25.49,14.92,26.21,11.03,25.77,5.27,12.27,82.7,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,No,NA,0,NA,Flake,119.5810013,126.7470016,24.02099991,5,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-321,I18-3247,I18,3247,Chert,NA,Blank,NA,NA,NA,0%,NA,NA,Plain,No,Yes,Convergent,Triangular,Hinge,Twisted,3,Unidirectional,3.39,8.63,4.91,8.77,5.24,22.65,2.03,3.48,90.8,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,No,NA,0,NA,ElongatedProd,118.1179962,126.6809998,23.8579998,8,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-321,I18-3161,I18,3161,Quartz,Fine,RetouchedPiece,NA,Blank,NA,0%,NA,NA,Plain,No,Yes,Convergent,Irregular,Step,Irregular,2,Unidirectional,9.41,21.17,14.24,22.51,12.39,27.57,9.21,13.39,79.8,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,No,Notch,0,NA,NA,118.4300003,126.4319992,23.90099907,6,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-257,I18-3218,I18,3218,Chert,NA,Blank,NA,NA,NA,0%,NA,NA,Plain,No,No,Parallel,Triangular,Step,Curved,3,Unidirectional,6.05,5.76,4.96,5.93,5.14,23.73,5.76,6.41,53.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,Yes,NA,0,NA,ElongatedProd,118.6419983,126.6220016,23.875,7,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-257,I18-2724,I18,2724,Greywacke,NA,Blank,NA,NA,NA,0%,NA,NA,Plain,No,No,Irregular,Irregular,Feather,Straight,1,Unidirectional,8.57,28.45,25.26,28.63,19.35,26.49,9.4,23.43,123,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,No,NA,0,NA,Flake,118.4970016,126.8280029,24.13599968,1,5,LITHIC,Upper 5/4E
VB,NA,TRUE,LOT-257,I18-2708,I18,2708,Chert,NA,Blank,NA,NA,NA,61-99%,Distal,Indeterminate,Crushed,No,No,Convergent,Triangular,Pointed,Straight,2,Unidirectional,7.14,20.93,13.28,17.82,12.16,40.8,2.36,8.31,105,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,Yes,NA,0,NA,Flake,118.5859985,126.7990036,24.16200066,1,5,LITHIC,Upper 5/4E
VB,NA,TRUE,LOT-257,I18-3086,I18,3086,Chert,NA,Blank,NA,NA,NA,0%,NA,NA,Plain,No,No,Convergent,Triangular,Pointed,Straight,1,Unidirectional,4.63,12.86,13.6,11.74,2.69,21.45,5.57,10.14,110.9,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,No,NA,0,NA,Flake,118.4980011,126.8720016,23.96299934,5,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-257,I18-3271,I18,3271,Greywacke,NA,Blank,NA,NA,NA,31-60%,RightLateral,Cobble,Linear,No,No,Convergent,Lenticular,Feather,Straight,2,Unidirectional,2.34,11.53,5.83,11.6,7.22,21.7,1.6,5.11,95.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,Yes,NA,0,Dolerite?,Flake,118.6330032,126.0709991,23.84399986,8,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-257,I18-3065,I18,3065,Chert,NA,Blank,NA,NA,NA,0%,NA,NA,Plain,No,No,Convergent,Triangular,Pointed,Straight,3,Unidirectional,6.01,7.29,5.69,6.94,2.77,23.97,3.81,6.01,54.8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,No,NA,0,NA,ElongatedProd,118.5490036,126.2050018,23.99600029,4,5,BUCKET,Lower 5
VB,NA,TRUE,LOT-257,I18-3241,I18,3241,Chert,NA,Blank,NA,NA,NA,0%,NA,NA,Plain,No,No,Convergent,Triangular,Hinge,Straight,2,Unidirectional,4.2,8.72,7.22,8.66,4.34,22.43,3.34,7.37,73.1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,No,NA,0,NA,ElongatedProd,118.8280029,126.0429993,23.87199974,7,5,LITHIC,Lower 5
